id,influencer_id,description_fr,description_en,preferences_fr,preferences_en,Acid house,African music,Alternative rock,Ambient,Blues,Bossa Nova,Chill-out,Classical Music,Coldwave,Country,Dance music,Dance-pop,Deep house,Disco,Dream Pop,Dub,Electro swing,Electronic rock,Electronica,Electropop,Experimental,Experimental Jazz,Experimental rock,Film Music,French house,Funk,Future house,Garage rock,Grime,Hard rock,Hip hop,House music,Indie folk,Indie pop,Indie rock,Instrumental,International Pop,Latin music,Lo-Fi,Metal,Minimal,Modern Jazz,New wave,Noise rock,Nouvelle Scène,Nu-disco,Pop rock,Pop soul,Post-punk,Post-rock,Progressive pop,Progressive rock,Psychedelic pop,Psychedelic rock,Punk,R&B,Rap,Rap français,Reggae,Rock and roll,Samba,Singer-songwriter,Soul,Surf rock,Synthpop,Synthwave,Techno,Traditional Music,Trap,Trip hop,Variété Française
96,96,"Ex-BSC NEWS, nouveau magazine culturel franc-tireur, totalement réinventé après déjà 10 ans d'existence","Ex-BSC NEWS, nouveau magazine culturel franc-tireur, totalement réinventé après déjà 10 ans d'existence",Musique Comtemporaine et Jazz,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
97,97,"Underdog Records is a french alternative label based in Paris,house of FLOX, OTIS STACKS, THE BONGO HOP, TRIBEQA, JOHN MILK....","Underdog Records is a french alternative label based in Paris,house of FLOX, OTIS STACKS, THE BONGO HOP, TRIBEQA, JOHN MILK....","Folk, soul, blues, rock&roll, indie pop","Folk, soul, blues, rock&roll, indie pop",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
102,102,"HIGHLIFE is a music publishing company + Independant label services based in Dijon - France 


HIGHLIFE PUBLISHING [ETIENNE BOUZY EDITEUR] est une société d’édition musicale indépendante représentant le catalogue du label HIGHLIFE RECORDINGS. Notre label répond à la fois aux besoins des artistes et aux enjeux économiques actuels d’un secteur en pleine mutation. Fondé en 2012 par Etienne Bouzy alias Hippy Dinosaur 3000 ou encore Easy B (pour les intimes...), le label ne se concentre pas sur un style particulier, c’est d’ailleurs la particularité de chacun des artistes signés sur Highlife. Entre beat down, future garage, turbo wave ou encore ghetto chill, il en découle une énergie de velours et un goût prononcé pour la modernité.",HIGHLIFE Recordings has a wide open philosophy concerning the artistic matters. What is good deserves to be released and proposed to the audience. Obviously the label is dance orientated but this is not the only purpose.,Déjà de la maturité,Already mature and original,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
103,103,"Nectar est une émission radio musicale et hebdomadaire sur les genres folk et psychédélique, à dominante rock. Elle est présentée par Jude, du label Only Lovers Records, et diffusée sur Radio Pulsar à Poitiers, le dimanche à 20h, et sur Radio Campus Angers, le mardi à 21h.

Nectar est une émission de nouveautés, ainsi chaque semaine vous pourrez découvrir les derniers singles des genres folk et psychédélique mais également en apprendre plus sur certains artistes avec les rubriques ""album de la semaine"" (par Jude), ""discothèque idéale"" (par Jean-Charles) et ""tour du monde"" (par Jérôme).","Nectar is a weekly music radio program about folk, psychedelic, with a rock focus.
Presented by Jude, from the record label Only Lovers Records, and broadcasted on Radio Pulsar, on Sundays at 8PM and on Radio Campus Angers, on Tuesdays at 9 PM. 

Nectar is a program dedicated to musical discoveries. Every week, you will discover the latest psychedelic and folk tracks . You will also learn more about specific artists with « The album of the week », notice presented by Jude, « The ideal collection » by Jean-Charles and « Around the World » by Jérôme.",Folk,Folk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,104,"Ecrit pour Konbini et Noisey (Vice). Défricheur de sons rap, hip-hop & soul.","Writes for Konbini and Noisey (Vice). Rap, Hip-Hop & Soul adventurer",Rap,Rap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1
105,105,"Méloman, c'est la 1ère chaîne française entièrement consacrée à la découverte des nouveautés de la musique indépendante ou tout simplement trop peu connue en France. Aujourd'hui on parle trop des groupes d'avant qui ont marqué l'histoire sans réaliser que la musique n'a jamais été aussi diverse et accessible à tous que de nos jours, et que nous sommes entourés de véritables pépites ! La chaîne est également en partenariat avec le webzine Albumrock.net.","Méloman is the first French channel dedicated to musical discoveries form the indie scene in France. 
Everyone keeps talking about yesterday's bands without realizing that music has never been so diverse and accessible than today. We are surrounded by true gems. This channel works in partnership with the webzine Albumrock.net .",Pop,Pop,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
106,106,"Brooklyn-based magazine. Chroniques indépendantes, centrées autour du garage, rock psychédélique, indie rock","Brooklyn-based magazine. Chroniques indépendantes, centrées autour du garage, rock psychédélique, indie rock",Garage,Garage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
107,107,Electro Posé - Inside Your Minds ◆ Deep House ◆ Chillwave  ◆ Nu Disco ◆ Lounge music ◆ Indie ◆ Pop,Electro Posé - Inside Your Minds ◆ Deep House ◆ Chillwave  ◆ Nu Disco ◆ Lounge music ◆ Indie ◆ Pop,Chillwave,Chillwave,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
108,108,Rejoignez Sound of Brit où le meilleur (et le moins bon mais c'est rare) de la musique britannique y est évoqué.,Rejoignez Sound of Brit où le meilleur (et le moins bon mais c'est rare) de la musique britannique y est évoqué.,100% Artistes anglais et irlandais,100% English and Irish artists,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0
109,109,"Mensuel culturel en ligne. Rédigé par 90 lycéens/étudiants partout en France. Actualité, Musique, Cinéma, Art...","Mensuel culturel en ligne. Rédigé par 90 lycéens/étudiants partout en France. Actualité, Musique, Cinéma, Art...",,,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
